#Table1
ID,z,Halpha,Hbeta,BalmerD,SFR,LD
299517989399586816,0.1215755,297.5951,70.65676,4.211842,0.8243127,1.75258602493222E+27
299517989869348864,0.1315038,174.6208,39.86888,4.379877,0.3770837,1.90820067404948E+27
299518264277493760,0.03580908,1425.261,355.5628,4.008465,0.06416361,4.85821342558162E+26
299518264747255808,0.006036635,288.7176,97.55373,2.959575,-1.361299,8.00492956166266E+25
299518539155400704,0.08925618,139.3886,37.09747,3.757363,-0.0413788,1.25866735314048E+27
299518539625162752,0.0893447,143.5105,28.48076,5.038857,-0.04048941,1.25999332180295E+27
299518814033307648,0.1231486,548.3916,109.2574,5.019262,1.039157,1.7771216098E+27
299518814503069696,0.1231987,555.7532,111.3009,4.993248,1.085434,1.77790328483689E+27
299519089380976640,0.03580831,1311.788,333.1961,3.936986,0.05681415,4.85810547329667E+26
299519638667028480,0.1263672,44.97949,11.66746,3.855121,0.3580501,1.82746547438904E+27
299519914014697472,0.1215208,290.141,65.58004,4.424228,0.8239467,1.75173328285314E+27
299520463770511360,0.09212417,120.0885,32.91386,3.648571,-0.1130711,1.3017034717632E+27
299520738178656256,0.06940611,56.18715,11.63949,4.827287,-0.8751944,9.65121273605693E+26
299520738648418304,0.1206172,140.5096,28.99303,4.846323,0.1706677,1.73766107225196E+27
299521287934470144,0.04567251,80.99186,16.27893,4.975256,-0.3925978,6.24213058921116E+26
299522112568190976,0.1206084,156.4765,29.25476,5.348754,0.1706354,1.73752364761261E+27
299522387446097920,0.09213265,118.3676,31.45549,3.763019,-0.1129964,1.30183093293158E+27
299522387915859968,0.06934141,59.3772,16.61306,3.574127,-0.8760363,9.64177012967475E+26
299522937201911808,0.06252577,350.9239,86.22083,4.070059,0.4200257,8.65153247419346E+26
299523212079818752,0.2713686,530.467,143.5322,3.695806,1.636327,4.28193087867083E+27
299523762305394688,0.2712803,446.9937,140.1149,3.190195,1.635646,4.28033175102826E+27
299524586939115520,0.06248942,350.3976,83.53896,4.194421,0.4240833,8.64627588601685E+26
299525411572836352,0.142703,94.78371,18.60152,5.095481,0.3538923,2.08588390192417E+27
299525685980981248,0.142683,78.15081,19.85093,3.936883,0.3537759,2.08556580205855E+27
299525686450743296,0.153699,33.51051,11.4553,2.925328,-1.10431,2.26253570263055E+27
299526510614702080,0.06773794,39.17488,9.225026,4.246588,-1.021468,9.40798892328988E+26
299526785492609024,0.07163119,99.4229,27.62638,3.598839,0.4268642,9.97647973638798E+26
299527060370515968,0.1536002,44.52198,11.26501,3.952237,-1.104879,2.26093969388292E+27
